"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bhutan","BTN","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","27.8758061680752","23.0179125228833","30.6478267104564","25.0142959930776","","19.5759685764072","13.6402202021419","12.2455001025665","10.810682663921","13.1911107512121","12.8937729754856","13.3454265004432","16.1609295248145","12.9803506908625","14.7228689335801","11.857392207371","21.7976574847639","22.6816575851027","27.1492271035872","18.8412038654552","15.504361515643","13.563873514745","10.1388815087124","12.4584735373619","11.6732564845438","12.2096174923279","9.89968964897666","13.1624093079714","12.5240524567393","14.9307362667132","13.9885936491729","8.78253808855606","8.53162446821843","10.8617577343026","","",
"Botswana","BWA","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.69181194920842","5.77988269610764","5.87455274980281","5.73097738610092","5.89876340230528","5.57563557060286","6.64416161440654","","","","","","","","","","5.0958347486362","7.18537425400127","12.1118453209666","14.2440555200969","11.0700427645164","7.64782908765499","6.21466629525507","5.38240443200174","6.95161722645658","7.06789987801146","7.45853461480583","","",
"Central African Republic","CAF","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44040225486874","4.67443255826627","7.85859625793491","3.96354935480763","","","","","","","",
"Canada","CAN","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.868257726945427","0.866353093944538","0.906679850674354","0.902756886845159","0.831404914712599","0.734523319818619","0.512821709569055","0.58136833417782","0.538891170869363","0.550745876374874","0.535659210072752","0.447871776099184","0.503172889700467","0.477799594502185","0.477021104615611","0.486087783727633","0.474465003850002","0.458649712875239","0.278294875199873","0.575360557368577","0.574744108617191","0.520248914923935","0.544818763139069","0.468924898236235","0.122250248721221","0.331493485173023","0.489264094529812","0.474498115339542","",
"Central Europe and the Baltics","CEB","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.401146504566","2.10756987302283","1.91752013062266","1.95051501866529","1.94553935923828","1.46855532193572","1.70932556885766","1.91294908695538","2.12726904710639","2.54872078863291","2.11022242407415","2.3052823501338","2.6160628775904","2.82479415622147","2.81083973081796","2.63181148737552","2.54601307738991","2.52390485793365","2.32716862313956","2.11924497195228","2.17123305789479","2.80760424719329","2.05972651913311","","",
"Switzerland","CHE","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.151437452599043","0.144334534537178","0.141529500217453","0.146794546206335","0.211421133228109","","","","","","1.15902805859552","1.14130033135484","1.11652604486534","1.01627525848134","1.02640917981338","1.04998378159101","0.952362116722738","0.87735279626597","0.850510194420642","0.818206128665171","0.626429548226845","0.688433126967352","0.744723096710788","0.722026104171614","0.746531936433395","0.717829672123023","0.693791289221364","0.660644447904929","0.977033244978376","0.97105400523894","0.926330538524287","0.988611935139835","0.837407006815833","0.954201152327403","0.931437123735517","0.923928269514557","0.94431134919071","","",
"Channel Islands","CHI","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","8.11163557341557","5.8068333653677","7.18037377820737","4.46224745202464","2.01538024840443","2.62002294958564","3.03215086631893","1.79022654155452","1.65131373907116","1.43994445965705","1.59151042659314","1.73769797775045","2.04820208546154","2.3510315605411","2.37526233919917","1.81320766343775","1.97128055617634","1.79406233829189","1.70288008171709","1.92890660479753","2.20740195194272","2.60691752548687","2.65093637029399","2.45027799726422","2.72060365205957","2.71682385846789","2.8096947024879","2.69438667151294","2.13499786212414","2.14773265304065","2.10854613022029","1.91503277684092","1.70428451101019","1.71868471464017","1.65204235857754","1.95832099719752","2.12225339291686","2.50765472893277","2.07847232726369","2.11718611135404","2.03249404975401","1.94327932854385","1.98248658568619","2.26566333519653","2.08620917519309","","",
"China","CHN","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0613193490192566","0.0520207298624229","0.0351424808875344","","","",
"Cote d'Ivoire","CIV","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4246301961219","2.97868837088043","2.59993752604237","2.56770909209674","2.5569154717386","2.76824200500736","2.621965368343","2.77956754078773","2.35313920763561","4.47631651734035","6.00303941036501","5.6342696922966","3.01087545376637","3.55762195623637","","",
"Cameroon","CMR","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.693841097946238","0.634666666666666","0.751450094161961","0.408618127786033","0.193331731467879","0.0882897963734588","0.152257980674561","0.1610000020125","0.0112613741004552","1.06900579645624","0.213283418475337","1.02174013470466","1.80890575599239","4.92578286862708","3.41324857532134","7.57939429265802","4.40450767818775","5.52007298106627","6.85299596757109","9.19264643983478","9.96059876211623","","","","","","","","",
"Congo, Rep.","COG","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.759917568263782","1.67083278515985","2.77902194714769","2.99185760272676","4.90882511348773","3.43733864424283","4.74741326841144","6.14779548747671","","10.353648893375","9.29212789206138","5.25360471261935","9.3647433841518","7.13331648238702","8.76910898926433","9.44427299221998","8.28173615095596","8.98341411812129","9.42822596144388","14.3844763310467","21.8988748926314","","","","","","",
"Colombia","COL","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25381721824602","1.99660391350975","1.68350196772106","","","0.661570512768731","","","","","3.80393332346979","4.37694519701024","1.51826065927052","1.09711593345025","-2.10858830820695","1.93752124185476","1.73296159537975","1.42152923105983","-0.492872842260762","","",
"Comoros","COM","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.11432283324818","8.72050582223681","5.25652986207731","8.52327737837286","9.7609890136174","","","13.8869816825086","","","","","","",
"Costa Rica","CRI","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","2.65685268581386","3.25370584421337","2.85636077536127","3.72419663758246","3.15221401543092","2.6495418387413","3.58543151966612","3.45364739556537","2.90704289896062","1.77426617932792","2.60605966871336","2.79735894961625","2.28880586985233","2.15752092734467","1.64128358920253","1.29237828484246","1.61066627347","1.35986010463081","1.00489844739962","1.00684344494629","1.18958607228784","1.26814251657446","1.17060285984238","1.13499131714531","1.39093832984889","1.20179525139122","1.62597789861358","1.63002515124109","1.3948792704519","1.84752510979232","0.940869451619654","1.13329592340661","1.00857296387024","0.951050618659487","1.31655603700306","3.5836160082673","2.00414549867204","1.4752500743606","1.33975597631394","1.38333813097769","1.47538648314519","2.09800793870571","","","","",
"Caribbean small states","CSS","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2908466587056","2.00348402880792","1.8383256894027","2.23933339484663","2.48216604808551","3.17926633134852","4.56920411002258","4.02624462496623","4.18641473007899","3.40246772489007","3.71912055267534","2.8141468160308","","3.00099267226955","","","","",
"Cuba","CUB","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","2.66926052066167","4.16292318609379","4.17395397385305","4.30009886603281","4.94601455163885","4.50348538263935","4.15981724778035","3.29690704782635","3.62452706235444","3.72065179594421","3.18040732203213","3.94403155078024","3.4293900530776","3.31930449343661","3.13748930832766","5.48875761852525","4.82039346722826","4.72895330593515","4.78556586329918","4.80890781482148","6.93826161739927","8.21593299149118","8.05385825791045","4.23200302264309","4.65093491506551","4.77183691241711","4.60789570364368","5.17743190855033","5.74220778388106","5.39716442961072","4.62011290887568","4.52031303794955","3.94669860193462","4.30427560999061","3.37322402352421","3.5617484588987","3.03836910280179","2.09956838784754","0.681348739752895","1.47246050251051","1.64769339829438","2.04703031876345","","",
"Czech Republic","CZE","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17344984709597","1.55216601377178","2.78162459886778","1.79762662909398","1.56755031972329","1.80913152275752","2.04828093971817","2.56493988172614","2.26055353931322","2.45532218295941","5.55871052404976","2.65124847997221","3.12625289784072","2.92806475066315","2.75455148892599","3.05766457585602","2.89392274442685","2.45024308107279","2.12593476797674","2.10007014930373","1.74050200481781","1.5416377574332","2.5922242194638","1.83506381409692","","",
"Germany","DEU","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","0.724540889966634","0.642982168034105","0.67510005086775","0.708514608534854","0.563755531237111","0.569402643207408","0.551390596874846","0.527583155508836","0.517766187844416","0.445568644363691","0.426674535378682","0.424409528566567","0.400329530803194","0.403563403271279","0.378189322337509","0.369968313070878","0.343877988055894","0.331641162810172","0.328929094625837","0.835232307887074","0.828339192600807","0.772754568070687","0.665632222216151","0.637645730923176","0.607492595217113","0.519304415921808","0.58385400460176","0.633063948810783","-1.80523597140737","0.590599370715875","0.563332843587257","0.623623425748419","0.557813755631458","0.631974015878276","0.645271022333078","0.534978873825941","0.587637281849602","0.739940771558054","0.536558783130419","0.713682164525752","0.73888474112964","0.661653036639036","0.599041040369699","0.633086612906126","0.655016636377675","","",
"Djibouti","DJI","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.27522585259772","6.70619474941966","4.21285710633407","4.31527949849548","8.03883169248372","4.13832919483467","7.85820756563169","9.85308444611954","12.440249015147","11.4615615122355","11.809282871502","12.9474649132449","12.6319455208854","11.8195023889512","8.58722349336261","","","","",
